1870
200  UKG  1
211  BEL  2
220  FRN  3
230  SPN  1
255  GMY  2
740  JPN  1
155  CHL  4
160  ARG  3
165  URU  3
140  BRA  3
210  NTH  2
325  ITA  2
380  SWD  2
390  DEN  2
640  TUR  2
710  CHN  1
101  VEN  1
130  ECU  1
135  PER  3
235  POR  3
350  GRC  2
360  ROM  2
365  RUS  2
41  HAI  3
600  MOR  3
225  SWZ  2
300  AUH  2

1884
2  USA  1
70  MEX  1
200  UKG  2
220  FRN  3
255  GMY  4
155  CHL  2
160  ARG  3
165  URU  3
210  NTH  4
211  BEL  4
230  SPN  3
325  ITA  5
380  SWD  4
390  DEN  4
640  TUR  5
710  CHN  2
740  JPN  2
130  ECU  2
135  PER  3
140  BRA  2
145  BOL  2
235  POR  2
350  GRC  2
365  RUS  4
300  AUH  5
225  SWZ  4
345  YUG  5
360  ROM  5

1885
2  USA  1
70  MEX  1
140  BRA  1
165  URU  1
200  UKG  2
220  FRN  3
255  GMY  4
740  JPN  1
155  CHL  4
160  ARG  3
210  NTH  4
211  BEL  4
230  SPN  3
235  POR  3
325  ITA  5
380  SWD  4
390  DEN  4
640  TUR  5
710  CHN  2
130  ECU  2
135  PER  2
350  GRC  3
360  ROM  5
365  RUS  4
225  SWZ  5
41  HAI  3
100  COL  3
300  AUH  5

1886
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  1
200  UKG  2
220  FRN  3
255  GMY  4
740  JPN  1
155  CHL  2
160  ARG  2
165  URU  2
210  NTH  4
211  BEL  4
230  SPN  3
235  POR  3
325  ITA  5
365  RUS  3
390  DEN  4
640  TUR  3
710  CHN  2
135  PER  2
350  GRC  2
360  ROM  5
380  SWD  4
225  SWZ  5
300  AUH  5
345  YUG  5
630  IRN  3

1887
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  1
200  UKG  2
211  BEL  3
220  FRN  2
255  GMY  4
325  ITA  5
740  JPN  1
155  CHL  4
160  ARG  2
165  URU  2
210  NTH  3
230  SPN  2
235  POR  2
350  GRC  3
365  RUS  3
390  DEN  4
640  TUR  4
710  CHN  1
135  PER  6
360  ROM  4
380  SWD  4
225  SWZ  5
300  AUH  4
345  YUG  4
630  IRN  3

1888
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  1
200  UKG  2
220  FRN  2
255  GMY  3
325  ITA  3
740  JPN  1
155  CHL  3
160  ARG  2
165  URU  2
210  NTH  4
211  BEL  4
230  SPN  2
235  POR  2
350  GRC  2
365  RUS  4
390  DEN  3
640  TUR  3
710  CHN  1
135  PER  2
360  ROM  4
380  SWD  3
225  SWZ  3
300  AUH  3
345  YUG  3
630  IRN  4

1889
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  1
200  UKG  2
220  FRN  2
255  GMY  3
325  ITA  4
155  CHL  3
160  ARG  2
165  URU  2
210  NTH  2
211  BEL  2
230  SPN  2
235  POR  2
350  GRC  4
365  RUS  4
390  DEN  3
640  TUR  4
710  CHN  2
740  JPN  2
135  PER  2
360  ROM  2
380  SWD  3
225  SWZ  4
300  AUH  4
345  YUG  4
630  IRN  4

1890
2  USA  1
41  HAI  1
70  MEX  1
100  COL  1
101  VEN  1
140  BRA  1
200  UKG  2
220  FRN  3
255  GMY  2
325  ITA  3
130  ECU  3
155  CHL  2
160  ARG  3
165  URU  3
210  NTH  2
211  BEL  2
230  SPN  4
235  POR  4
350  GRC  2
365  RUS  2
380  SWD  2
390  DEN  2
640  TUR  3
710  CHN  5
740  JPN  5
135  PER  2
360  ROM  2
225  SWZ  3
800  THI  4
300  AUH  3
630  IRN  2

1891
2  USA  1
41  HAI  1
70  MEX  1
100  COL  1
101  VEN  1
130  ECU  2
140  BRA  1
200  UKG  3
211  BEL  3
220  FRN  4
255  GMY  3
325  ITA  5
740  JPN  6
135  PER  7
155  CHL  3
160  ARG  3
165  URU  4
210  NTH  3
230  SPN  4
235  POR  8
350  GRC  4
360  ROM  3
365  RUS  5
380  SWD  3
390  DEN  3
640  TUR  5
710  CHN  6
225  SWZ  5
300  AUH  5
345  YUG  5
630  IRN  5

1892
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  1
200  UKG  2
210  NTH  1
211  BEL  1
220  FRN  3
255  GMY  4
325  ITA  3
740  JPN  5
135  PER  2
155  CHL  4
160  ARG  3
165  URU  2
230  SPN  3
235  POR  2
350  GRC  6
360  ROM  6
365  RUS  6
380  SWD  4
390  DEN  4
640  TUR  6
710  CHN  5
225  SWZ  3
300  AUH  6
345  YUG  6
630  IRN  6
730  KOR  5

1893
2  USA  1
41  HAI  1
70  MEX  1
